;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;General;What faiths are followed by the relatives of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/relative> ?x . ?x <http://dbpedia.org/ontology/religion> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/relative> ?x . ?x <http://dbpedia.org/ontology/religion> ?uri };6ede8437feee4a37a3076b1deb866abd;;;;;;;;;;;;;;;
;Music;What famous musicians play the <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/instrument> <A> . ?uri a <http://dbpedia.org/ontology/MusicalArtist> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/instrument> ?a . ?uri a <http://dbpedia.org/ontology/MusicalArtist> };c39f9c9df5b147d49a09ee2a5ef485d3;;;;;;;;;;;;;;;
;Politics;What famous politician died in the <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/deathPlace> <A> . ?uri a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?uri <http://dbpedia.org/property/deathPlace> ?a . ?uri a <http://dbpedia.org/ontology/Person> };61066d63cf6b4c3d9e4dfdec5c6a430c;;;;;;;;;;;;;;;
;Literature;What famous work is derived from the one whose lyrics are written by <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/lyrics> <A> . ?x <http://dbpedia.org/ontology/basedOn> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/lyrics> ?a . ?x <http://dbpedia.org/ontology/basedOn> ?uri };6afc2e0ce3f244ce93a5bed1fab03623;;;;;;;;;;;;;;;
;Film;What fictional character's species is <A>;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/species> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/species> ?a };f1deb0821db74c36b4d4e3febc19fb74;;;;;;;;;;;;;;;
;General;What foundation palce of <B> is the death palce of <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/foundation> ?uri . <A> <http://dbpedia.org/property/placeOfDeath> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/foundation> ?uri . ?a <http://dbpedia.org/property/placeOfDeath> ?uri };f3e69f0433d44011900bd5304b4d5c31;;;;;;;;;;;;;;;
;Sport;What games are played at institutions affiliated with the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/affiliations> <A> . ?x <http://dbpedia.org/ontology/sport> ?uri . ?x a <http://dbpedia.org/ontology/EducationalInstitution> };select distinct ?a where { ?x <http://dbpedia.org/property/affiliations> ?a . ?x <http://dbpedia.org/ontology/sport> ?uri . ?x a <http://dbpedia.org/ontology/EducationalInstitution> };e16be5fbd56d460f90909d96e7655e59;;;;;;;;;;;;;;;
;Sport;What games are played at universities in <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/state> <A> . ?x <http://dbpedia.org/ontology/athletics> ?uri . ?x a <http://dbpedia.org/ontology/University> };select distinct ?a where { ?x <http://dbpedia.org/ontology/state> ?a . ?x <http://dbpedia.org/ontology/athletics> ?uri . ?x a <http://dbpedia.org/ontology/University> };f8733a59b674426dac53692d6ac50bb0;;;;;;;;;;;;;;;
;Sport;What games are played in <A> schools?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/schooltype> <A> . ?x <http://dbpedia.org/ontology/sport> ?uri . ?x a <http://dbpedia.org/ontology/School> };select distinct ?a where { ?x <http://dbpedia.org/property/schooltype> ?a . ?x <http://dbpedia.org/ontology/sport> ?uri . ?x a <http://dbpedia.org/ontology/School> };86af262ded0c418592ba045d1b609aab;;;;;;;;;;;;;;;
;Sport;What games can be played in schools founded by <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/foundedBy> <A> . ?x <http://dbpedia.org/ontology/sport> ?uri . ?x a <http://dbpedia.org/ontology/School> };select distinct ?a where { ?x <http://dbpedia.org/ontology/foundedBy> ?a . ?x <http://dbpedia.org/ontology/sport> ?uri . ?x a <http://dbpedia.org/ontology/School> };1ffae1c9ef7d48869e193bade845992d;;;;;;;;;;;;;;;
;;What genre is<B> from, which employes <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/occupation> ?uri . <B> <http://dbpedia.org/property/genre> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/occupation> ?uri . ?b <http://dbpedia.org/property/genre> ?uri };a99633a7312140699f6da5ec60b3545a;;;;;;;;;;;;;;;
;General;What genre of games are made by <A> studios?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/developer> <A> . ?x <http://dbpedia.org/property/genre> ?uri . ?x a <http://dbpedia.org/ontology/VideoGame> };select distinct ?a where { ?x <http://dbpedia.org/ontology/developer> ?a . ?x <http://dbpedia.org/property/genre> ?uri . ?x a <http://dbpedia.org/ontology/VideoGame> };c98f57f9e1cc479eb0dcea4abd33d23a;;;;;;;;;;;;;;;
;Computer;What genre's softwares are released with a GNU <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/license> <A> . ?x <http://dbpedia.org/property/genre> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/license> ?a . ?x <http://dbpedia.org/property/genre> ?uri };eb2d086a990849edbedf1e67a5489fc7;;;;;;;;;;;;;;;
;;What genres of games are available on the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/computingPlatform> <A> . ?x <http://dbpedia.org/property/genre> ?uri . ?x a <http://dbpedia.org/ontology/VideoGame> };select distinct ?a where { ?x <http://dbpedia.org/ontology/computingPlatform> ?a . ?x <http://dbpedia.org/property/genre> ?uri . ?x a <http://dbpedia.org/ontology/VideoGame> };692a622dfa204b6faf27d4609436b8ae;;;;;;;;;;;;;;;
;;What has  location as <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/location> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/location> ?a };846635db38f040eaa3478eac855e39e8;;;;;;;;;;;;;;;
;Literature;What has <A> written his books about?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/author> <A> . ?x <http://dbpedia.org/property/subject> ?uri . ?x a <http://dbpedia.org/ontology/Book> };select distinct ?a where { ?x <http://dbpedia.org/ontology/author> ?a . ?x <http://dbpedia.org/property/subject> ?uri . ?x a <http://dbpedia.org/ontology/Book> };68843601f12e4f76a157d8e77cdd18b0;;;;;;;;;;;;;;;
;Computer;what has been developed by <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/developer> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/developer> ?a };d018211e5cad471cb48e42286b59f8bc;;;;;;;;;;;;;;;
;;What has been founded in the state that <A> is a part of?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/part> <A> . ?uri <http://dbpedia.org/ontology/foundationPlace> ?x };select distinct ?a where { ?x <http://dbpedia.org/ontology/part> ?a . ?uri <http://dbpedia.org/ontology/foundationPlace> ?x };eb46e7dfdd9244a1b5455ccdf1a5abb6;;;;;;;;;;;;;;;
;;What have been made in the state whose capital is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/capital> <A> . ?uri <http://dbpedia.org/ontology/location> ?x };select distinct ?a where { ?x <http://dbpedia.org/property/capital> ?a . ?uri <http://dbpedia.org/ontology/location> ?x };e19a8a1f620d417887fabd403a34298e;;;;;;;;;;;;;;;
;General;What have some <A> citizens died of?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/citizenship> <A> . ?x <http://dbpedia.org/ontology/deathCause> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/citizenship> ?a . ?x <http://dbpedia.org/ontology/deathCause> ?uri };3d8f7450e4e84935b8f482bf336f0843;;;;;;;;;;;;;;;
;General;What have some famous <A> died of?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/religion> <A> . ?x <http://dbpedia.org/ontology/deathCause> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/religion> ?a . ?x <http://dbpedia.org/ontology/deathCause> ?uri };97750e1c2bda4a70a98f6a3d3fde3cc5;;;;;;;;;;;;;;;
;;What honours did <A> receive?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/honours> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/honours> ?uri };82880466af6a4a07bb1bcd89ed90af00;;;;;;;;;;;;;;;
;General;What ingredients are used in preparing the dish of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/ingredient> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/ingredient> ?uri };f2fd76539712496f89d28c3d4448d5d8;;;;;;;;;;;;;;;
;;What is <A> a part of?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/type> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/type> ?uri };81a79bece2344b4aaa91302154014fbc;;;;;;;;;;;;;;;
;;What is <A> famous for?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/field> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/field> ?uri };b83ff0ecbd954891879ab98e725eb333;;;;;;;;;;;;;;;
;General;What is <A> hometown ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hometown> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hometown> ?uri };30599ffcad334bcc8b320111644de813;;;;;;;;;;;;;;;
;;What is <A> known for?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/knownFor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/knownFor> ?uri };3a948631dd8441caa4bea0a1acc65d97;;;;;;;;;;;;;;;
;;What is a <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/type> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/type> ?uri };fb24fef4bec1494480df389bd6d410c1;;;;;;;;;;;;;;;
;General;What is a common ingredient used in boyt <B> and <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/ingredient> ?uri . <A> <http://dbpedia.org/ontology/ingredient> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/ingredient> ?uri . ?a <http://dbpedia.org/ontology/ingredient> ?uri };0225eb44cdbd4c7891e3d609bc8534cf;;;;;;;;;;;;;;;
;;What is a common nickname given to both <A> and the <B> in massachusetts?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/nickname> ?uri . <B> <http://dbpedia.org/property/nickname> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/nickname> ?uri . ?b <http://dbpedia.org/property/nickname> ?uri };0dbe25e3f60b4874ad6bbbde0b92db79;;;;;;;;;;;;;;;
;;What is an airport inside <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/cityServed> <A> . ?uri a <http://dbpedia.org/ontology/Airport> };select distinct ?a where { ?uri <http://dbpedia.org/property/cityServed> ?a . ?uri a <http://dbpedia.org/ontology/Airport> };95e2eff5a1b64e1b9ce1e7edf8adedcf;;;;;;;;;;;;;;;
;;What is common between genre of <A> and purpose of <B>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/genre> ?uri . <B> <http://dbpedia.org/property/purpose> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/genre> ?uri . ?b <http://dbpedia.org/property/purpose> ?uri };4ae6b12b53054ad29b07c61a48527249;;;;;;;;;;;;;;;
;Sport;What is common between sports played at <B> and Jr college, and the genre of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/genre> ?uri . <B> <http://dbpedia.org/ontology/sport> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/genre> ?uri . ?b <http://dbpedia.org/ontology/sport> ?uri };4cb08818578d4dfaa26b1d3490c0610a;;;;;;;;;;;;;;;
;Sport;What is debut team of the baseball players who died in <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/deathPlace> <A> . ?x <http://dbpedia.org/property/debutteam> ?uri . ?x a <http://dbpedia.org/ontology/BaseballPlayer> };select distinct ?a where { ?x <http://dbpedia.org/ontology/deathPlace> ?a . ?x <http://dbpedia.org/property/debutteam> ?uri . ?x a <http://dbpedia.org/ontology/BaseballPlayer> };43e2baff638546e2a1d68bc013f30e65;;;;;;;;;;;;;;;
;;What is father's name who also served in military of <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/children> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/children> ?a };8c3a21bdc66d4755b75c98c498773f1e;;;;;;;;;;;;;;;
;;What is manufactured by <B> and <A> togather?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/manufacturer> <B> . ?uri <http://dbpedia.org/ontology/manufacturer> <A> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/manufacturer> ?b . ?uri <http://dbpedia.org/ontology/manufacturer> ?a };2a9c6af7ea724bd49c834dd371c155c8;;;;;;;;;;;;;;;
;Economy;What is manufactured by a company founded by <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/founder> <A> . ?uri <http://dbpedia.org/ontology/manufacturer> ?x };select distinct ?a where { ?x <http://dbpedia.org/property/founder> ?a . ?uri <http://dbpedia.org/ontology/manufacturer> ?x };4a0378488d7a4e55b54af1494dd0452d;;;;;;;;;;;;;;;
;Economy;What is manufactured by a company headed by <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/keyPeople> <A> . ?uri <http://dbpedia.org/ontology/manufacturer> ?x };select distinct ?a where { ?x <http://dbpedia.org/property/keyPeople> ?a . ?uri <http://dbpedia.org/ontology/manufacturer> ?x };cf2c22fcebba4a6f86eed6755e915b2f;;;;;;;;;;;;;;;
;;What is on the border of the places which fall under <A> municipality, oregon?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/municipality> <A> . ?x <http://dbpedia.org/ontology/border> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/municipality> ?a . ?x <http://dbpedia.org/ontology/border> ?uri };a71853071a1b40a59c6ce4714b1ef5ee;;;;;;;;;;;;;;;
;;What is operated by <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/operator> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/operator> ?uri };26c83a9e8dd7414ba4b9740120278949;;;;;;;;;;;;;;;
;;What is sovereignity of the successor of Mr. <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/successor> ?x . ?x <http://dbpedia.org/ontology/country> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/successor> ?x . ?x <http://dbpedia.org/ontology/country> ?uri };600bf1ca0e93442ba5fa63154cf524a9;;;;;;;;;;;;;;;
;Film;What is telecasted on the network where <A> holds important position?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/keyPerson> <A> . ?uri <http://dbpedia.org/ontology/network> ?x };select distinct ?a where { ?x <http://dbpedia.org/ontology/keyPerson> ?a . ?uri <http://dbpedia.org/ontology/network> ?x };b46c1b706504419494f4cccf84754e62;;;;;;;;;;;;;;;
;Geography;What is that river whose source gets water from the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/inflow> <A> . ?uri <http://dbpedia.org/ontology/source> ?x . ?uri a <http://dbpedia.org/ontology/River> };select distinct ?a where { ?x <http://dbpedia.org/property/inflow> ?a . ?uri <http://dbpedia.org/ontology/source> ?x . ?uri a <http://dbpedia.org/ontology/River> };80f27d6316b847f999d784e02ce6eaf2;;;;;;;;;;;;;;;
;Film;What is that show whose theme was composed by <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/themeMusicComposer> <A> . ?x <http://dbpedia.org/property/showName> ?uri . ?x a <http://dbpedia.org/ontology/TelevisionShow> };select distinct ?a where { ?x <http://dbpedia.org/property/themeMusicComposer> ?a . ?x <http://dbpedia.org/property/showName> ?uri . ?x a <http://dbpedia.org/ontology/TelevisionShow> };14307a9d57c5428a9076bc5d123a7434;;;;;;;;;;;;;;;
;General;What is that something which made <B> famous, and <A> received as an award?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/award> ?uri . <B> <http://dbpedia.org/property/knownFor> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/award> ?uri . ?b <http://dbpedia.org/property/knownFor> ?uri };8f2c9b53aca646c08bfe2eeee0544df4;;;;;;;;;;;;;;;
;Film;What is the  name of the television show whose developer is <A> and actor is <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/developer> <A> . ?uri <http://dbpedia.org/ontology/starring> <B> . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/developer> ?a . ?uri <http://dbpedia.org/ontology/starring> ?b . ?uri a <http://dbpedia.org/ontology/TelevisionShow> };9b7068c9ee9b45a4b38e8b7da17bc32d;;;;;;;;;;;;;;;
;;What is the <A> associated with?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/affiliations> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/affiliations> ?uri };d8830ee89d0547a7ba604e685fe17819;;;;;;;;;;;;;;;
;;What is the <A> built to cross?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/crosses> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/crosses> ?uri };b2a4d8fce56a4890a9e803ec33770b7c;;;;;;;;;;;;;;;
;;What is the <A> of Robert Nutting ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/knownFor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/knownFor> ?uri };f01315d63b924a25a46e91aae29457bc;;;;;;;;;;;;;;;
;;What is the <A> of Union of Cambodian Democrats ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/ideology> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/ideology> ?uri };e6fda0418bd341adb1e7444c4d8d5d19;;;;;;;;;;;;;;;
;;What is the academic discipline of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/academicDiscipline> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/academicDiscipline> ?uri };ced7ff32a8304b9f8c8ae77c3386bdc0;;;;;;;;;;;;;;;
;General;What is the academic discipline of the <B> and also an ingredient of the <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/academicDiscipline> ?uri . <A> <http://dbpedia.org/ontology/ingredient> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/academicDiscipline> ?uri . ?a <http://dbpedia.org/ontology/ingredient> ?uri };7994a53ef73c46c1bfd20f5cc8bf85c6;;;;;;;;;;;;;;;
;;What is the academic journal whose editor is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/editor> <A> . ?uri a <http://dbpedia.org/ontology/AcademicJournal> };select distinct ?a where { ?uri <http://dbpedia.org/property/editor> ?a . ?uri a <http://dbpedia.org/ontology/AcademicJournal> };dd004ede34464a0f82faca6742a25184;;;;;;;;;;;;;;;
;;What is the address of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/address> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/address> ?uri };b9b3fd57293c4776b2e52370d4d5c3be;;;;;;;;;;;;;;;
